timestamp,0V8_AON_A_current_A,0V8_SW_A_current_A,1V1_SYS_A_current_A,1V8_SYS_A_current_A,3V3_ADC_A_current_A,3V3_DAC_A_current_A,3V3_SYS_A_current_A,3V7_WL_SW_A_current_A,DDR_VDD2_A_current_A,DDR_VDDQ_A_current_A,HDMI_A_current_A,VDD_CORE_A_current_A,0V8_AON_V_voltage_V,0V8_SW_V_voltage_V,1V1_SYS_V_voltage_V,1V8_SYS_V_voltage_V,3V3_ADC_V_voltage_V,3V3_DAC_V_voltage_V,3V3_SYS_V_voltage_V,3V7_WL_SW_V_voltage_V,BATT_V_voltage_V,DDR_VDD2_V_voltage_V,DDR_VDDQ_V_voltage_V,EXT5V_V_voltage_V,HDMI_V_voltage_V,VDD_CORE_V_voltage_V
2025-08-19T12:22:32.855816,0.0050061,0.6870547,0.3464552,0.2810678,0.00018315,0.0,0.1571247,0.00097593,0.3035142,0.0750006,0.0108669,5.92059,0.8011714,0.8029296,1.107691,1.809034,3.313183,3.315931,3.307249,3.741535,0.0,1.10586,0.6029298,5.20188,5.1992,0.876507
2025-08-19T12:22:33.985103,0.00543345,0.6724158,0.3464552,0.2810678,0.0,0.0,0.1620044,0.00390372,0.2976587,0.083334,0.0108669,6.518899,0.8014645,0.8010981,1.106959,1.808545,3.314099,3.315015,3.327664,3.741535,0.0,1.106959,0.6084243,5.21394,5.207239,0.8783874
2025-08-19T12:22:35.012451,0.0047619,0.5611597,0.3474311,0.2722845,0.00018315,0.0,0.1639562,0.00292779,0.2722845,0.0,0.0108669,4.33998,0.8008783,0.7996329,1.10586,1.808057,3.314099,3.315015,3.309105,3.722048,0.0,1.104394,0.6025635,5.21528,5.1992,0.8778502
2025-08-19T12:22:36.039091,0.0056166,0.5621357,0.3474311,0.2849716,0.00018315,0.0,0.1620044,0.00195186,0.03220569,0.0,0.0107448,4.33998,0.8017574,0.8029296,1.107691,1.809522,3.312268,3.315931,3.319313,3.729471,0.0,1.107325,0.6040287,5.20054,5.20858,0.876507
2025-08-19T12:22:37.070326,0.00482295,0.6811991,0.3454792,0.2830197,0.00018315,0.0,0.1620044,0.00292779,0.03122976,0.0,0.0107448,3.99171,0.8017574,0.8029296,1.10586,1.808545,3.312268,3.315931,3.307249,3.733183,0.0,1.106226,0.6036624,5.20188,5.19652,0.8789246
2025-08-19T12:22:38.098356,0.00543345,0.6782714,0.3454792,0.2820438,0.00018315,0.0,0.1639562,0.00097593,0.2918031,0.0779418,0.0105006,6.09026,0.8017574,0.802197,1.107691,1.809522,3.314099,3.315015,3.301682,3.723903,0.0,1.104394,0.6018309,5.20322,5.19384,0.8783874
2025-08-19T12:22:39.127208,0.00518925,0.6841269,0.3445033,0.2839956,0.00018315,0.0,0.1590766,0.00292779,0.2713085,0.0602946,0.0107448,6.06347,0.8017574,0.8018308,1.106959,1.809034,3.312268,3.315015,3.313745,3.727615,0.0,1.104761,0.6047613,5.20992,5.20456,0.8775815
2025-08-19T12:22:40.155852,0.00494505,0.5923895,0.3445033,0.2830197,0.00018315,0.0,0.1590766,0.00195186,0.08392998,0.002451,0.0105006,4.90257,0.8011714,0.802197,1.107691,1.81001,3.314099,3.314099,3.307249,3.724831,0.0,1.109523,0.6036624,5.19116,5.21662,0.8853715
2025-08-19T12:22:41.198894,0.00506715,0.6841269,0.3464552,0.2820438,0.00018315,0.0,0.1581007,0.00195186,0.2957068,0.08284381,0.0106227,6.38495,0.8002922,0.8025633,1.108058,1.810987,3.312268,3.314099,3.307249,3.741535,0.0,1.101464,0.6018309,5.207239,5.1992,0.8778502
2025-08-19T12:22:42.225609,0.0058608,0.5631116,0.3464552,0.2722845,0.00018315,0.0,0.1590766,0.00292779,0.08197812,0.0,0.0106227,4.35784,0.8002922,0.802197,1.104394,1.809034,3.314099,3.314099,3.311889,3.740607,0.0,1.104761,0.6036624,5.20456,5.1992,0.8781188
2025-08-19T12:22:43.253135,0.0058608,0.5914136,0.3454792,0.2859475,0.00018315,0.0,0.1590766,0.00292779,0.2781401,0.063726,0.0107448,5.25084,0.8008783,0.7996329,1.107691,1.808057,3.312268,3.315015,3.302609,3.741535,0.0,1.107325,0.6065928,5.21394,5.20992,0.8789246
2025-08-19T12:22:44.279250,0.0053724,0.570919,0.3464552,0.2693567,6.105e-05,0.0,0.1590766,0.0,0.08197812,0.061275,0.0101343,5.24191,0.8011714,0.8010981,1.108058,1.806592,3.314099,3.316846,3.310033,3.722048,0.0,1.104394,0.6040287,5.20456,5.1992,0.8770444
2025-08-19T12:22:45.312234,0.00506715,0.6811991,0.3435274,0.2888753,6.105e-05,0.0,0.1610285,0.00195186,0.2957068,0.0803928,0.0107448,6.08133,0.8008783,0.8018308,1.108424,1.808057,3.314099,3.315931,3.319313,3.740607,0.0,1.107691,0.6040287,5.20858,5.20188,0.876507
2025-08-19T12:22:46.340069,0.0053724,0.6724158,0.3571904,0.279116,6.105e-05,0.0,0.1620044,0.00195186,0.2947309,0.078432,0.0103785,6.23314,0.8008783,0.8032959,1.107325,1.81001,3.311352,3.316846,3.309105,3.730399,0.0,1.110622,0.6010983,5.18714,5.18714,0.8802678
2025-08-19T12:22:47.369934,0.004884,0.5611597,0.3445033,0.2849716,0.00018315,0.0,0.1581007,0.0,0.0292779,0.0,0.0108669,4.25068,0.8008783,0.8010981,1.107691,1.804638,3.313183,3.315015,3.319313,3.741535,0.0,1.105127,0.6021972,5.20322,5.19786,0.8791933
2025-08-19T12:22:48.395796,0.0051282,0.6860789,0.3445033,0.279116,0.00018315,0.0,0.1717637,0.0,0.2722845,0.071079,0.010989,6.4296,0.8011714,0.802197,1.108058,1.809034,3.313183,3.314099,3.319313,3.723903,0.0,1.105127,0.608058,5.2193,5.20054,0.8783874
2025-08-19T12:22:49.424805,0.0053724,0.6724158,0.3552385,0.2859475,6.105e-05,0.0,0.1590766,0.00292779,0.3171773,0.0818634,0.0107448,6.50997,0.8017574,0.8018308,1.104394,1.809522,3.314099,3.315931,3.331376,3.722048,0.0,1.113552,0.6036624,5.2059,5.2193,0.8791933
2025-08-19T12:22:50.455930,0.004884,0.5611597,0.3581663,0.2810678,6.105e-05,0.0,0.1590766,0.00195186,0.3044902,0.0607848,0.0107448,4.43821,0.8008783,0.8029296,1.104394,1.810987,3.313183,3.315015,3.319313,3.723903,0.0,1.113552,0.6036624,5.20322,5.19786,0.8759698
2025-08-19T12:22:51.484876,0.0052503,0.558232,0.3562145,0.2703326,6.105e-05,0.0,0.1659081,0.00292779,0.0292779,0.0,0.0103785,4.38463,0.8014645,0.802197,1.10586,1.804638,3.313183,3.314099,3.327664,3.740607,0.0,1.110622,0.6032961,5.20188,5.1992,0.876507
2025-08-19T12:22:52.516910,0.0052503,0.6841269,0.3425514,0.2820438,6.105e-05,0.0,0.2068972,0.00195186,0.3171773,0.0754908,0.0108669,6.35816,0.8002922,0.8010981,1.107691,1.808057,3.313183,3.316846,3.309105,3.726687,0.0,1.107691,0.6025635,5.20054,5.1925,0.8805364
2025-08-19T12:22:53.545426,0.0058608,0.6099563,0.3445033,0.2859475,6.105e-05,0.0,0.1610285,0.00292779,0.3093698,0.0602946,0.0106227,6.09026,0.8008783,0.8010981,1.107325,1.808545,3.314099,3.315015,3.309105,3.723903,0.0,1.110622,0.6032961,5.20054,5.20322,0.8789246
